feature_symbol,tier,in_core_spec,in_runtime_code,core_source_kinds,runtime_groups,runtime_first_evidence,runtime_test_presence,lean_status,lean_evidence,lean_decl_anchor,coverage_status
%,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1341,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:74:  | .symbol ""%"" => GroundedType.execute (α := Int) ""%"" args",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:68:def executeGroundedOp,extension_mapped_in_lean
%Undefined%,core,yes,yes,elementary_type,engine_const,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:13,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:88:def mettaHE,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:88:def mettaHE,core_implemented
*,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1327,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Properties.lean:267:example : executeGroundedOp (.symbol ""*"")",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Properties.lean:251:theorem bisimilar_trans,extension_mapped_in_lean
+,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1313,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Logic/Prolog/FixtureCorpus.lean:2206:      (.findall ""T"" (.unify (.fvar ""T"") (.apply ""+"" [one, two])))",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Logic/Prolog/FixtureCorpus.lean:2204:theorem iso_findall_3_02,extension_mapped_in_lean
-,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1320,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:281:    | ""-"", [.grounded (.int a), .grounded (.int b)] => some (.grounded (.int (a - b)))",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:260:class GroundedType,extension_mapped_in_lean
->,core,yes,yes,special_operator,engine_const,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:24,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Types.lean:73:def functionType,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Types.lean:73:def functionType,core_implemented
/,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1334,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:307:      syntaxPattern := [.terminal ""/""] },",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:88:def mettaHE,extension_mapped_in_lean
:,core,yes,yes,special_operator,engine_const,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:21,yes,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Types.lean:69:def typeAnnotation,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Types.lean:69:def typeAnnotation,core_implemented
:<,extension,no,yes,,engine_const,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:22,no,absent,,,extension_runtime_only
<,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1348,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:287:    | ""<"", [.grounded (.int a), .grounded (.int b)] => some (.grounded (.bool (a < b)))",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:260:class GroundedType,extension_mapped_in_lean
