symbol,source_kinds,sections,evidence
%Undefined%,elementary_type,Elementary types,There are the number of symbols which are used as the basic types: - Type - the type of any type - %Undefined% - the unknown type - Atom - the type of any atom - Symbol - the type of the symbol atom - Variable - the type of the variable atom - Expression - the type of the expression atom - Grounded - the type of the grounded atom
->,special_operator,Function type,(-> arg1_type arg2_type ... argN_type ret_type)
:,special_operator,Type assignment,(: <atom> <type>)
=,special_operator,Function expression,(= <call recognition template> <body template>)
ATOM,grammar_nonterminal,S-expression grammar,ATOM ::= SYMBOL | VARIABLE | GROUNDED | EXPRESSION ;
Atom,elementary_type,Elementary types,There are the number of symbols which are used as the basic types: - Type - the type of any type - %Undefined% - the unknown type - Atom - the type of any atom - Symbol - the type of the symbol atom - Variable - the type of the variable atom - Expression - the type of the expression atom - Grounded - the type of the grounded atom
CHAR,grammar_nonterminal,S-expression grammar,"CHAR ::= <any character except WHITESPACE and ( '""' | '#' | '(' | ')' | ';' )> ;"
COMMENT,grammar_nonterminal,S-expression grammar,"COMMENT ::= ';', { CHAR | ' ' | '\t' | '""' | '#' | '(' | ')' | ';' } ! EOL ;"
DELIM,grammar_nonterminal,S-expression grammar,DELIM ::= { WHITESPACE | COMMENT } ;
EOL,grammar_nonterminal,S-expression grammar,EOL ::=  '\r' | '\n' ;
EXPRESSION,grammar_nonterminal,S-expression grammar,"EXPRESSION ::= '(', { ATOM, [ DELIM ] }, ')' ;"
Expression,elementary_type,Elementary types,There are the number of symbols which are used as the basic types: - Type - the type of any type - %Undefined% - the unknown type - Atom - the type of any atom - Symbol - the type of the symbol atom - Variable - the type of the variable atom - Expression - the type of the expression atom - Grounded - the type of the grounded atom
GROUNDED,grammar_nonterminal,S-expression grammar,GROUNDED ::= STRING | WORD ;
Grounded,elementary_type,Elementary types,There are the number of symbols which are used as the basic types: - Type - the type of any type - %Undefined% - the unknown type - Atom - the type of any atom - Symbol - the type of the symbol atom - Variable - the type of the variable atom - Expression - the type of the expression atom - Grounded - the type of the grounded atom
IncorrectNumberOfArguments,special_result_or_error,Special function results,where <error message> is either a string or a symbol or one of the following: - StackOverflow - returned by the interpreter when the stack depth is restricted and maximum depth is reached - NoReturn - this error is reserved by the minimal MeTTa interpreter and should not be returned if program doesn't have (function ...) minimal MeTTa blocks (see minimal MeTTa documentation for more information) - IncorrectNumberOfArguments - the number of argument in the call doesn't equal to the number of parameters of the called function - (BadArgType <arg position> <expected type> <actual type>) - the argument type error - (BadType <expected type> <actual type>) - the type cast error
METTA,grammar_nonterminal,S-expression grammar,"METTA ::= { [ '!', [ DELIM ] ], ATOM, [ DELIM ] } ;"
NoReturn,special_result_or_error,Special function results,where <error message> is either a string or a symbol or one of the following: - StackOverflow - returned by the interpreter when the stack depth is restricted and maximum depth is reached - NoReturn - this error is reserved by the minimal MeTTa interpreter and should not be returned if program doesn't have (function ...) minimal MeTTa blocks (see minimal MeTTa documentation for more information) - IncorrectNumberOfArguments - the number of argument in the call doesn't equal to the number of parameters of the called function - (BadArgType <arg position> <expected type> <actual type>) - the argument type error - (BadType <expected type> <actual type>) - the type cast error
STRING,grammar_nonterminal,S-expression grammar,"STRING ::= '""', { CHAR | WHITESPACE | '#' | '(' | ')' | ';' }, '""' ;"
SYMBOL,grammar_nonterminal,S-expression grammar,SYMBOL ::= WORD;
StackOverflow,special_result_or_error,Special function results,where <error message> is either a string or a symbol or one of the following: - StackOverflow - returned by the interpreter when the stack depth is restricted and maximum depth is reached - NoReturn - this error is reserved by the minimal MeTTa interpreter and should not be returned if program doesn't have (function ...) minimal MeTTa blocks (see minimal MeTTa documentation for more information) - IncorrectNumberOfArguments - the number of argument in the call doesn't equal to the number of parameters of the called function - (BadArgType <arg position> <expected type> <actual type>) - the argument type error - (BadType <expected type> <actual type>) - the type cast error
Symbol,elementary_type,Elementary types,There are the number of symbols which are used as the basic types: - Type - the type of any type - %Undefined% - the unknown type - Atom - the type of any atom - Symbol - the type of the symbol atom - Variable - the type of the variable atom - Expression - the type of the expression atom - Grounded - the type of the grounded atom
Type,elementary_type,Elementary types,There are the number of symbols which are used as the basic types: - Type - the type of any type - %Undefined% - the unknown type - Atom - the type of any atom - Symbol - the type of the symbol atom - Variable - the type of the variable atom - Expression - the type of the expression atom - Grounded - the type of the grounded atom
